Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1 (Incomplete),0,View,--,--,--,--,--,--,--,--,1,A1,--,1,1,0,5,Water,1.333,--,Aqueous,15:11:36,6.8
A2 (Incomplete),23,View,--,--,--,--,--,--,--,--,2,A2,--,1,1,0,5,Water,1.333,--,Aqueous,15:11:59,5.1
A3,47,View,110495,25.1,111.2,0.09,Multimodal,206538,1.006,11.297,3,A3,1104946,5,5,0,5,Water,1.333,0.89,Aqueous,15:12:23,10
A4,85,View,152320,25,49,0.068,Multimodal,30276.5,0.999,142.396,4,A4,1523201,5,5,0,5,Water,1.333,0.89,Aqueous,15:13:01,10
A5,1.20E+02,View,9966760,25,197.6,0.132,Multimodal,792492.9,1.027,22.624,5,A5,99667598,5,5,0,5,Water,1.333,0.89,Aqueous,15:13:39,10
A6 (Incomplete),1.90E+02,View,--,--,--,--,--,--,--,--,6,A6,--,1,1,0,5,Water,1.333,--,Aqueous,15:14:49,5.2
A7,3.10E+03,View,9856466,25.1,152.7,0.097,Multimodal,433647.9,1.03,1.669,74,A7,98564663,5,5,0,5,Water,1.333,0.89,Aqueous,16:03:33,10
A8,3.20E+03,View,9812109,25.1,184.4,0.089,Multimodal,673724.5,1.016,3.596,75,A8,98121084,5,5,0,5,Water,1.333,0.89,Aqueous,16:05:25,10
A9,3.30E+03,View,8596968,25,210.6,0.115,Multimodal,919961.2,1.026,9.786,76,A9,85969682,5,5,0,5,Water,1.333,0.89,Aqueous,16:06:12,10
A10,3.20E+02,View,10083467,25,213.5,0.144,Multimodal,949662.5,1.078,8.366,10,A10,100834668,5,5,0,5,Water,1.333,0.89,Aqueous,15:16:54,10
A11,4.00E+02,View,10265710,25,165.7,0.108,Multimodal,524978.2,1.014,6.26,11,A11,102657094,5,5,0,5,Water,1.333,0.89,Aqueous,15:18:11,10
A12,4.30E+02,View,12322156,25,173.4,0.114,Multimodal,583788.3,1.017,11.269,12,A12,123221558,5,5,0,5,Water,1.333,0.89,Aqueous,15:18:50,10
B1,4.90E+02,View,6294597,25,256.4,0.18,Multimodal,1457974,1.059,75.647,13,B1,62945965,5,5,0,5,Water,1.333,0.89,Aqueous,15:19:44,10
B2,5.30E+02,View,4815785,25,381.4,0.305,Multimodal,3691195.9,1.187,118.788,14,B2,48157845,5,5,0,5,Water,1.333,0.89,Aqueous,15:20:22,10
B3,5.70E+02,View,2577946,25,693.9,0.428,Multimodal,14969962.8,1.143,352.325,15,B3,25779465,5,5,0,5,Water,1.333,0.89,Aqueous,15:21:05,10
B4,6.10E+02,View,1338646,25,254.5,0.26,Multimodal,1432760.4,1.094,208.631,16,B4,13386458,5,5,0,5,Water,1.333,0.89,Aqueous,15:21:43,10
B5,6.50E+02,View,225824,25,81.5,0.091,Multimodal,99719.3,1.028,16.303,17,B5,2258240,5,5,0,5,Water,1.333,0.89,Aqueous,15:22:21,10
